,Price,Pid,Property_name,Address,Neighboorhood
36,34000000,H4585,4 bedroom Flat / Apartment for sale Sangotedo Ajah Lagos,Abijo Sangotedo Ajah Lagos,Sangotedo
37,25000000,H4579,4 bedroom Flat / Apartment for sale Sangotedo Ajah Lagos,Safeway bus stop Sangotedo Ajah Lagos,Sangotedo
38,70000000,H3922,5 bedroom Duplex for sale Beside the new Shoprite Sangotedo Ajah Lagos,Crown Estate Beside the new Shoprite Sangotedo Ajah Lagos,Sangotedo
39,55000000,H2670,5 bedroom Duplex for sale Thomas estate Ajah Lagos,Thomas Estate Thomas Estate Ajah Lagos,Ajah
40,50000000,H4155,Commercial Property for sale Bus stop Ijegun Ikotun/Igando Lagos,Car wash Bus stop Ijegun Ikotun Igando Lagos,Igando
41,4000000,H2006,4 bedroom House for sale Ikorodu Igbogbo Ikorodu Lagos,Odofin estate Ikorodu Igbogbo Ikorodu Lagos,Ikorodu
42,8500000,H2053,4 bedroom House for sale Ikorodu Igbogbo Ikorodu Lagos,Agunfoye Ikorodu Igbogbo Ikorodu Lagos,Ikorodu
43,33000000,H5715,2 bedroom Flat / Apartment for sale cheveron drive chevron Lekki Lagos,Chevy view estate cheveron drive Chevron Lekki Lagos,Lekki
44,500000000,H5712,Land for sale Ligali Ayorinde Victoria Island Lagos,Louis Solomon V/I. Ligali Ayorinde VI Lagos,VI
45,200000000,F7038,679.011 square meter Land for sale Marina Lagos Island Lagos,Close to Insurance Corporation Marina Lagos-Island Lagos,Lagos-Island
46,200000000,H3563,Land for sale Lagos Island Lagos Island Lagos,Abibuoki street Lagos-Island Lagos-Island Lagos,Lagos-Island
47,65000000,H5709,700.0 square meter Land for sale ShadyVille Close to Chevron Lekki Lagos,ShadyVille Close to Chevron ShadyVille Close to Chevron Lekki Lagos,Lekki
48,3500000000,H5704,Land for sale Ligali Ayorinde Victoria Island Lagos,Oniru Ligali Ayorinde VI Lagos,VI
49,400000000,H5703,Land for sale Ligali Ayorinde Victoria Island Lagos,Dideolu Estate Oniru Ligali Ayorinde VI Lagos,VI
50,1000000000,H5700,Land for sale Adeola Odeku Victoria Island Lagos,AJOSE ADEOGUN Adeola Odeku VI Lagos,VI
51,150000000,H5698,5 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,Maruwa(2nd roundabout) Lekki. Lagos Lekki Phase 1 Lekki Lagos,Lekki
52,1830000000,H5694,Land for sale Banana Island Ikoyi Lagos,Banana Island Banana Island Ikoyi Lagos,Ikoyi
53,50000000,H5689,3 bedroom Flat / Apartment for sale Alagomeji Yaba Lagos,Alagomeji Alagomeji Yaba Lagos,Yaba
54,75000000,H5681,4 bedroom Duplex for sale Royal Estate Alausa Ikeja Lagos,Royal Estate Alausa Royal Estate Alausa Ikeja Lagos,Ikeja
55,8000000,H5666,648.0 square meter Land for sale Alakuko Alagbado Abule Egba Lagos,Amje Alakuko Alagbado Abule-Egba Lagos,Abule-Egba
56,25000000,H5658,2 bedroom Flat / Apartment for sale Ikota Lekki Lagos,Ikota Villa Estate Ikota Lekki Lagos,Lekki
57,10000000,"25,H5655",600.0 square meter Land for sale LEKKI Monastery road Sangotedo Lagos,CMB road LEKKI Monastery Road Sangotedo Lagos,Sangotedo
58,65000000,H5654,4 bedroom Duplex for sale Badore Ajah Lagos,Cooperative Villa. Badore Badore Ajah Lagos,Ajah
59,16000000,H5653,Land for sale Igbogbo Igbogbo Ikorodu Lagos,Ofin Oreta Igbogbo Igbogbo Ikorodu Lagos,Ikorodu
60,60000000,H5652,4 bedroom Duplex for sale Back of zenith bank Osapa london Lekki Lagos,Osapa Back of zenith bank Osapa London Lekki Lagos,Lekki
61,28000000,H5651,6 bedroom House for sale Aga Ikorodu Ikorodu Lagos,Harmony hotel Aga Ikorodu Ikorodu Lagos,Ikorodu
62,480000000,H5645,6 bedroom House for sale chevron Lekki Lagos,Nicon Town Chevron Lekki Lagos,Lekki
63,380000000,H5640,5 bedroom House for sale chevron Lekki Lagos,Nicon Town Chevron Lekki Lagos,Lekki
64,1800000,H5626,600.0 square meter Land for sale Eluju Ibeju Lekki Ibeju-Lekki Lagos,Gbarada Village Ayeteju Town Eluju Eluju Ibeju-Lekki Ibeju-Lekki Lagos,Ibeju-Lekki
65,1800000,H5620,600.0 square meter Land for sale Eluju Ibeju Lekki Free Trade Zone Ibeju-Lekki Lagos,Gbarada Village Ayeteju Town Eluju Eluju Ibeju-Lekki Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
66,40000000,H5618,5 bedroom Duplex for sale ajah Thomas estate Ajah Lagos,Thomos es ajah Thomas Estate Ajah Lagos,Ajah
67,210000000,"1000,H5612",1000.0 square meter Land for sale Nicon Town chevron Lekki Lagos,Zone B Nicon Town Chevron Lekki Lagos,Lekki
68,215000000,"1000,H5609",1000.0 square meter Land for sale Nicon Town chevron Lekki Lagos,Zone A Nicon Town Chevron Lekki Lagos,Lekki
69,60000000,H5608,4 bedroom Duplex for sale Abraham Adesanya Surulere Lagos,Surulere Abraham Adesanya Surulere Lagos,Surulere
70,8000000,H5606,3 bedroom House for sale Ajuwon Iju Agege Lagos,Kayode plaza Ajuwon Iju Agege Lagos,Agege
71,1200000000,H5604,4 bedroom Duplex for sale Victoria Island Extension Victoria Island Lagos,Oniru VI Extension VI Lagos,VI
72,275000000,"1200,m2,H5603",Land for sale chevron Lekki Lagos,Nicon Town Chevron Lekki Lagos,Lekki
73,200000000,H5602,7 bedroom Duplex for sale Ogudu Ogudu Lagos,Ramat crescent Ogudu Ogudu Lagos,Ogudu
74,1200000,G5264,600.0 square meter Land for sale Lepia Town Free Trade Zone Ibeju-Lekki Lagos,"Lepia Town, Ibeju lekki Lepia Town Free Trade Zone Ibeju-Lekki Lagos",Ibeju-Lekki
75,5000000,G5268,600.0 square meter Land for sale Eluju Town Off Lekki-Epe Expressway Ajah Lagos,Bogije Eluju Town Off Lekki Epe Expressway Ajah Lagos,Lekki
76,6500000,G5271,600.0 square meter Land for sale Abijo Abijo Ajah Lagos,Abijo Abijo Abijo Ajah Lagos,Ajah
77,13500000,H5600,Land for sale Abraham adesanya estate Ajah Lagos,Abraham Adesanya Abraham Adesanya Estate Ajah Lagos,Ajah
78,700000,H5598,600.0 square meter Land for sale FOLU ISE Free Trade Zone Ibeju-Lekki Lagos,FOLU ISE IBEJU LEKKI LAGOS FOLU ISE Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
79,18000000,G5273,600.0 square meter Land for sale Walton Gate Sangotedo Ajah Lagos,Walton Gate estate Walton Gate Sangotedo Ajah Lagos,Sangotedo
80,20000000,H5596,3 bedroom Bungalow for sale Diamond Estate Igando Ikotun/Igando Lagos,Isheri igando Diamond Estate Igando Ikotun Igando Lagos,Igando
81,15000000,H3828,2 bedroom Flat / Apartment for sale Western Avenue Western Avenue Surulere Lagos,Western Avenue Western Avenue Western Avenue Surulere Lagos,Surulere
82,22000000,H3829,3 bedroom Flat / Apartment for sale Western Avenue Western Avenue Surulere Lagos,Western Avenue Western Avenue Western Avenue Surulere Lagos,Surulere
83,35000000,"35,H5169",3 bedroom Flat / Apartment for sale Chevron chevron Lekki Lagos,Chevron Chevron Chevron Lekki Lagos,Lekki
84,40000000,H3821,3 bedroom Flat / Apartment for sale Western Avenue Surulere Lagos,Africa Road off Funsho Williams Avenum Western Avenue Surulere Lagos,Surulere
85,25000000,H5592,4 bedroom Duplex for sale Command Ipaja Ipaja Lagos,"Soroye Sowemimo Street, Odutola Estate off Command Road Ipaja Command Ipaja Ipaja Lagos",Ipaja
86,45000000,H5170,4 bedroom House for sale Ikota Villa Estae Ikota Lekki Lagos,Ikota Villa Estae Ikota Villa Estae Ikota Lekki Lagos,Lekki
87,1500000,H5590,Land for sale LaCampaigne Tropicana Ibeju-Lekki Lagos,Lacampaign. Lacampaigne Tropicana Ibeju-Lekki Lagos,Ibeju-Lekki
88,40000000,H5588,5 bedroom House for sale Lekki Ikota Lekki Lagos,Royal view Estate Lekki Ikota Lekki Lagos,Lekki
89,6000000,H5587,Land for sale Lakowe Ajah Lagos,lakowe Lakowe Ajah Lagos,Ajah
90,115000000,H5460,5 bedroom Duplex for sale Victory park Estate Victoria Island Extension Victoria Island Lagos,Victory park Estate Victory park Estate VI Extension VI Lagos,VI
91,8000000,H5585,Land for sale Badore Ajah Lagos,Badore Badore Ajah Lagos,Ajah
92,14000000,H5583,2 bedroom Duplex for sale Amuwo Odofin Amuwo Odofin Lagos,"Lake View Estate, Phase 2 Amuwo-Odofin Amuwo-Odofin Lagos",Amuwo-Odofin
93,55000000,H5581,8 bedroom Duplex for sale Berger Ojodu Lagos,Ojodu Berger Ojodu Lagos,Ojo
94,35000000,H5573,House for sale Ikate Ogunlana Surulere Lagos,Ikate Ogunlana Surulere Lagos,Surulere
95,50000000,H5571,5 bedroom Duplex for sale Ire Akari Isolo Lagos,Near Remsal Hotel Ire Akari Isolo Lagos,Isolo
96,20000000,H5570,4 bedroom Bungalow for sale Iju-Ishaga Agege Lagos,Tajuden bustop Iju Ishaga Agege Lagos,Agege
97,10000000,H5569,3 bedroom Bungalow for sale Isheri Oshun Ijegun Ikotun/Igando Lagos,Fagbile Estate Isheri Oshun Ijegun Ikotun Igando Lagos,Igando
98,500000000,H5568,Land for sale Ligali Ayorinde Victoria Island Lagos,LOUIS SOLOMON V/I Ligali Ayorinde VI Lagos,VI
99,35000000,H5567,"5 bedroom House for sale Valley Estate, by Conoil Petrol Station, along Abeokuta Express Road Dopemu Alimosho Lagos","Mortune Avenue Valley Estate, by Conoil Petrol Station, along Abeokuta Express Road Dopemu Alimosho Lagos",Alimosho
100,1500000000,H5566,Land for sale Ebute Metta Yaba Lagos,makoko street Ebute Metta Yaba Lagos,Yaba
101,10000000,H5565,Land for sale Awoyaya Ajah Lagos,Mercyland Delight Estate Awoyaya Ajah Lagos,Ajah
102,170000000,H4509,Commercial Property for sale Ibeju Eputu Ibeju-Lekki Lagos,Aiyeteju Ibeju Eputu Ibeju-Lekki Lagos,Ibeju-Lekki
103,46000000,H4756,3 bedroom House for sale Oko oba Agege Lagos,Agege street Oko Oba Agege Lagos,Agege
104,4000000,H4818,Land for sale Oke ira Nla Badore Ajah Lagos,Oke ira nla street Oke ira Nla Badore Ajah Lagos,Ajah
105,1500000000,H4761,Commercial Property for sale Ojota lagos Ojota Ojota Lagos,Express road Ojota lagos Ojota Ojota Lagos,Ojo
106,1050000,H5560,Land for sale Ikorodu Ikorodu Lagos,Imota Ikorodu Ikorodu Lagos,Ikorodu
107,4900000,H5557,Land for sale Free Trade Zone Ibeju-Lekki Lagos,Free trade Zone Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
108,17000000,H5554,House for sale Ikate Ogunlana Surulere Lagos,Ikate Ogunlana Surulere Lagos,Surulere
109,3000000000,H5553,Land for sale Old Ikoyi Ikoyi Lagos,Lawrence Street Ikoyi. Old Ikoyi Ikoyi Lagos,Ikoyi
110,900000,H5551,Land for sale Ikorodu Ikorodu Lagos,Agbowa Ikorodu Ikorodu Lagos,Ikorodu
111,850000,H5550,Land for sale Akodo Ise Ibeju-Lekki Lagos,Akodo Akodo Ise Ibeju-Lekki Lagos,Ibeju-Lekki
112,4000000000,H5549,Land for sale MacPherson Ikoyi Lagos,Macdonald Street Ikoyi. Macpherson Ikoyi Lagos,Ikoyi
113,37000000,H5548,4 bedroom House for sale Orchid hotel road chevron Lekki Lagos,Orchid hotel road Orchid hotel road Chevron Lekki Lagos,Lekki
114,350000000,H5546,Land for sale Osborne Foreshore Estate Ikoyi Lagos,Osborne Phase 1 Osborne Foreshore Estate Ikoyi Lagos,Ikoyi
115,75000000,H5544,Land for sale Oregun Ikeja Lagos, Bankole Oregun Lagos Oregun Ikeja Lagos,Ikeja
116,800000000,H5543,Land for sale Banana Island Ikoyi Lagos, K ZONE Banana Island Ikoyi Lagos,Ikoyi
117,6000000,H5542,Land for sale Free Trade Zone Ibeju-Lekki Lagos,E;luju Town Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
118,2500000,H5540,Land for sale Free Trade Zone Ibeju-Lekki Lagos,Okun Folu Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
119,1500000,H5539,Land for sale Alatise Ibeju-Lekki Lagos,Lepia Town Alatise Ibeju-Lekki Lagos,Ibeju-Lekki
120,700000,H5537,Land for sale Akodo Ise Ibeju-Lekki Lagos,Ibeju-Lekki Akodo Ise Ibeju-Lekki Lagos,Ibeju-Lekki
121,700000,H5536,Land for sale Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
122,3500000,H5527,Land for sale Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
123,4900000,H5525,Land for sale Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
124,80000000,H5524,7 bedroom Duplex for sale lekki Canaan Estate Ajah Lagos,Canaan land estate lekki Canaan Estate Ajah Lagos,Ajah
125,33000000,H5515,4 bedroom Bungalow for sale Thomas estate Ajah Lagos,Divine Homes Thomas Estate Ajah Lagos,Ajah
126,8000000,H2477,600.0 square meter Land for sale Ogombo Ajah Lagos,Along Abraham Adesanya Estate Road Ogombo Ajah Lagos,Ajah
127,10000000,H2478,500.0 square meter Land for sale Bogije Sangotedo Lagos,Bogije road Bogije Sangotedo Lagos,Sangotedo
128,10500000,H2479,600.0 square meter Land for sale Lakowe Ajah Lagos,Lakowe Golf and Country Estate Road Lakowe Ajah Lagos,Ajah
129,5500000,H2480,600.0 square meter Land for sale Free Trade Zone Ibeju-Lekki Lagos,Behind Proposed Dangote refinery Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
130,5000000,H5510,Land for sale Off Lekki-Epe expressway Awoyaya Ajah Lagos,Awoyaya Lekki Lagos Off Lekki-Epe expressway Awoyaya Ajah Lagos,Lekki
131,65000000,H5509,4 bedroom Duplex for sale chevron Lekki Lagos,Chevron Chevron Lekki Lagos,Lekki
132,400000000,H4617,3 bedroom Duplex for sale Sabo Yaba Lagos,Sabo Sabo Yaba Lagos,Yaba
133,25000000,H4607,22000.0 square meter Land for sale Ikeja Ikeja Lagos,Ikeja Ikeja Ikeja Lagos,Ikeja
134,65000000,H5491,4 bedroom Duplex for sale chevron Lekki Lagos,Chevron Chevron Lekki Lagos,Lekki
135,30000000,H3831,Bungalow for sale University Road Abule-Oja Yaba Lagos,Davis University Road Abule Oja Yaba Lagos,Yaba
136,85000000,H5490,5 bedroom Duplex for sale chevron Lekki Lagos,Chevron Chevron Lekki Lagos,Lekki
137,30000000,H4618,3 bedroom Flat / Apartment for sale Iganmu Orile Lagos,Orile Iganmu Orile Lagos,Orile
138,150000000,"110,H5489",3 bedroom Flat / Apartment for sale Soluyi Soluyi Gbagada Lagos,Soluyi Estate Soluyi Soluyi Gbagada Lagos,Gbagada
139,2000000,D3283,640.0 square meter Land for sale Epe Road Epe Lagos,Mejona oko orisan epe/ibeju lekki road Epe Road Epe Lagos,Epe
140,75000000,H5487,4 bedroom Duplex for sale chevron Lekki Lagos,Chevron Chevron Lekki Lagos,Lekki
141,85000000,H5485,4 bedroom Duplex for sale chevron Lekki Lagos,Chevron Chevron Lekki Lagos,Lekki
142,60000000,H5484,4 bedroom Duplex for sale chevron Lekki Lagos,Chevron Chevron Lekki Lagos,Lekki
143,16000000,H5478,6 bedroom Flat / Apartment for sale St finbarrs Road Akoka Yaba Lagos,Back of chemist bus stop St finbarrs Road Akoka Yaba Lagos,Yaba
144,30000000,H5472,7 bedroom Duplex for sale Igando Akowonjo Alimosho Lagos,Akesan Igando Akowonjo Alimosho Lagos,Igando
145,45000000,H2114,4 bedroom Duplex for sale Berger Ojodu Lagos,Ojodu Berger Ojodu Lagos,Ojo
146,35000000,H2349,4 bedroom Duplex for sale Kosoko Berger Ojodu Lagos,Kosoko Kosoko Berger Ojodu Lagos,Ojo
147,37000000,H5244,5 bedroom Flat / Apartment for sale Oko oba Agege Lagos,Olaniyi Oko Oba Agege Lagos,Agege
148,43000000,H5247,5 bedroom Flat / Apartment for sale Morgan estate Ojodu Lagos,Close Morgan Estate Ojodu Lagos,Ojo
149,1080000,H5458,600.0 square meter Land for sale Phase 2 Free Trade Zone Ibeju-Lekki Lagos,Free trade zone Phase 2 Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
150,6750000,H5457,600.0 square meter Land for sale Phase 2 Free Trade Zone Ibeju-Lekki Lagos,Free trade zone Phase 2 Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
151,4050000,H5455,600.0 square meter Land for sale Phase 2 Free Trade Zone Ibeju-Lekki Lagos,Free trade zone Phase 2 Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
152,16000000,G9572,3 bedroom Bungalow for sale Jakande Estate Oke-Afa Isolo Lagos,Orange Jakande Estate Oke Afa Isolo Lagos,Isolo
153,15000000,G9175,4 bedroom Bungalow for sale Akesan Igando Ikotun/Igando Lagos,Kassim Achomhi street Akesan Igando Ikotun Igando Lagos,Igando
154,15000000,G8254,4 bedroom Bungalow for sale Ogombo Ajah Lagos,Ogombo Ajah Lagos,Ajah
155,15000000,H0250,4 bedroom Bungalow for sale Akesan Igando Ikotun/Igando Lagos,Akesan Igando Ikotun Igando Lagos,Igando
156,2000000,H0998,Land for sale off AIT road Alagbado Abule Egba Lagos,Ilaso community off AIT road Alagbado Abule-Egba Lagos,Abule-Egba
157,16000000,H2816,3 bedroom Bungalow for sale Oke-Afa Isolo Lagos,Jakande Oke Afa Isolo Lagos,Isolo
158,27000000,H0790,Land for sale Oke-Afa Isolo Lagos, Oke Afa Isolo Lagos,Isolo
159,27000000,H2817,Land for sale Oke-Afa Isolo Lagos,Oke Afa Oke Afa Isolo Lagos,Isolo
160,20000000,H2881,Bungalow for sale Mushin Mushin Lagos,off Isolo road Mushin Mushin Lagos,Isolo
161,150000000,H3365,6 bedroom Bungalow for sale Thomas estate Ajah Lagos,Thomas Tera Haven Estate Thomas Estate Ajah Lagos,Ajah
162,35000000,H3608,5 bedroom House for sale Dopemu Alimosho Lagos,"Mortune Avenue, Valley Estate, by Conoil Petrol Station, along Abeokuta Express Road Dopemu Alimosho Lagos",Alimosho
163,45000000,H5437,4 bedroom Duplex for sale Agungi Lekki Lagos,Ologolo Agungi Lekki Lagos,Lekki
164,160000000,H5433,4 bedroom Duplex for sale Ikoyi Lagos,Osbourne 2 Ikoyi Lagos,Ikoyi
165,45000000,H5431,4 bedroom Duplex for sale Agungi Lekki Lagos,Augustina Orji Street Agungi Lekki Lagos,Lekki
166,120000000,"1074,H5429",1074.0 square meter Land for sale Oregun Ikeja Lagos,Off oregun Oregun Ikeja Lagos,Ikeja
167,8000000,H3086,Land for sale Isheri North Ojodu Lagos,Isheri North GRA Isheri North Ojodu Lagos,Ojo
168,8000000,H3088,Land for sale Ikorodu Road Shomolu Lagos,Ikorodu Road Ikorodu Road Shomolu Lagos,Ikorodu
169,25000000,H3091,Land for sale Igbogbo Ikorodu Lagos,Igbogbo Igbogbo Ikorodu Lagos,Ikorodu
170,50000000,H5423,Flat / Apartment for sale Off St. Finbarrs Akoka Yaba Lagos,Off St. Finbarrs Akoka Yaba Lagos,Yaba
171,30000000,"14,650,H3152",Land for sale Old Ikoyi Ikoyi Lagos,"S/W Old Ikoyi, moshalashi Street Old Ikoyi Ikoyi Lagos",Ikoyi
172,5000000,H3093,Land for sale Ikorodu Ikorodu Lagos,Sagamu road Ikorodu Ikorodu Lagos,Ikorodu
173,750000000,"14,H3092",Land for sale Satellite Town Amuwo Odofin Lagos,CBN quarters Satellite Town Amuwo-Odofin Lagos,Amuwo-Odofin
174,120000000,H5422,3 bedroom Flat / Apartment for sale Ikoyi Lagos,Adeyemi Lawson Ikoyi Lagos,Ikoyi
175,80000000,H3637,Commercial Property for sale Ijede Ikorodu Lagos,ijeede road Ijede Ikorodu Lagos,Ikorodu
176,15000000,E7144,6 bedroom Bungalow for sale Ipaja Ipaja Lagos,"Mercyland Estate, Ipaja, Lagos Ipaja Ipaja Lagos",Ipaja
177,14000000,H2729,2 bedroom Flat / Apartment for sale Federal Site and Service Egbeda Alimosho Lagos,Graceland Estate Federal Site and Service Egbeda Alimosho Lagos,Alimosho
178,40000000,H5417,6 bedroom Bungalow for sale Saabo Berger Ojodu Lagos,Off Adebowale Street Saabo Berger Ojodu Lagos,Ojo
179,22000000,H5415,Land for sale Ago palace Okota Lagos,Century Ago Palace Okota Lagos,Okota
180,330000000,H5414,8 bedroom Flat / Apartment for sale Omole phase 1 Ogba Lagos,omole phase 1 estate Omole Phase 1 Ogba Lagos,Ogba
181,11000000,H5413,Land for sale Ago palace Okota Lagos,Reverend Bock street Ago Palace Okota Lagos,Okota
182,16000000,H5412,Land for sale Ago palace Okota Lagos,Virgil Dike street Ago Palace Okota Lagos,Okota
183,16000000,H5411,Land for sale Ago palace Okota Lagos,Okiki Street Ago Palace Okota Lagos,Okota
184,14000000,H5410,Land for sale Ago palace Okota Lagos,Samuele ekunola Ago Palace Okota Lagos,Okota
185,15000000,H5409,Land for sale Community road Okota Lagos,Community road Community Road Okota Lagos,Okota
186,67000000,H5408,4 bedroom Duplex for sale Magodo Kosofe/Ikosi Lagos,Phase I Magodo Kosofe Ikosi Lagos,Kosofe
187,125000000,H5405,5 bedroom Duplex for sale Berger Ojodu Lagos,Omole Estate phase 1 Berger Ojodu Lagos,Ojo
188,60000000,H5403,5 bedroom Duplex for sale Ikota Lekki Lagos,Oral Estate Ikota Lekki Lagos,Lekki
189,30000000,H5400,3 bedroom Flat / Apartment for sale Ikorodu Ikorodu Lagos,His glory estate Ikorodu Ikorodu Lagos,Ikorodu
190,35000000,H5394,4 bedroom Flat / Apartment for sale Awoyaya Ajah Lagos, global street off container road bus stop Awoyaya Ajah Lagos,Ajah
191,350000,H5387,Land for sale Oke Afo Mowo Badagry Badagry Lagos,Okoron Nubu Oke Afo Mowo Badagry Badagry Lagos,Badagry
192,80000000,H5378,Flat / Apartment for sale Baruwa Ipaja Lagos,"Off Adele close, Off Candos road Baruwa Baruwa Ipaja Lagos",Ipaja
193,40000000,H5368,5 bedroom Duplex for sale Sangotedo Lagos,Farmville Estate Sangotedo Lagos,Sangotedo
